source,time_period,geo_strat,geo_label,sex_strat,sex_label,age_strat,age_label,abm_strat,abm_label,ppop_strat,ppop_label,domain,measure_raw,measure_gfs,measure_unit,ind_strat,ind_label,est,error_type,error,lci,uci,releasability,prop
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,70-74,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",10133,NA,NA,NA,NA,yes,-10.3
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,30-34,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",373,NA,NA,NA,NA,yes,0.4
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,45-49,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",1768,NA,NA,NA,NA,yes,-1.8
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,20-24,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",219,NA,NA,NA,NA,yes,0.2
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,5-9,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",67,NA,NA,NA,NA,yes,-0.1
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,60-64,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",1202,NA,NA,NA,NA,yes,-5.8
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,50-54,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",614,NA,NA,NA,NA,yes,-3
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,15-19,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",30,NA,NA,NA,NA,yes,0.2
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,35-39,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",206,NA,NA,NA,NA,yes,-1
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,80-84,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",2666,NA,NA,NA,NA,yes,14.7
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,60-64,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",3437,NA,NA,NA,NA,yes,3.9
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,20-24,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",487,NA,NA,NA,NA,yes,-0.5
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,25-29,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",65,NA,NA,NA,NA,yes,0.4
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,70-74,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",1468,NA,NA,NA,NA,yes,8.1
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,30-34,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",166,NA,NA,NA,NA,yes,-0.8
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,15-19,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",298,NA,NA,NA,NA,yes,-0.3
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,35-39,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",990,NA,NA,NA,NA,yes,-1
